Fecha;Equipo A;Equipo B;Equipo C;Equipo D;Equipo E;Equipo F
S 07/07/2018;T;D;D;D;N;M
D 08/07/2018;N;D;D;M;D;T
L 09/07/2018;N;D;O;M;D;T
M 10/07/2018;D;M;O;T;D;N
X 11/07/2018;D;M;O;T;D;N
J 12/07/2018;D;T;O;N;M;D
V 13/07/2018;D;T;O;N;M;D
S 14/07/2018;M;N;D;D;T;D
D 15/07/2018;M;N;D;D;T;D
L 16/07/2018;T;D;M;D;N;O
M 17/07/2018;T;D;M;D;N;O
X 18/07/2018;N;D;T;M;D;O
J 19/07/2018;N;D;T;M;D;O
V 20/07/2018;D;M;N;T;D;O
S 21/07/2018;D;M;N;T;D;D
D 22/07/2018;D;T;D;N;M;D
L 23/07/2018;D;T;D;N;M;O
M 24/07/2018;M;N;D;D;T;O
X 25/07/2018;M;N;D;D;T;O
J 26/07/2018;T;D;M;D;N;O
V 27/07/2018;T;D;M;D;N;O
S 28/07/2018;N;D;T;M;D;D
D 29/07/2018;N;D;T;M;D;D
L 30/07/2018;D;M;N;T;D;O
M 31/07/2018;D;M;N;T;D;O
X 01/08/2018;D;T;D;N;M;O
J 02/08/2018;D;T;D;N;M;O
V 03/08/2018;M;N;D;D;T;O
S 04/08/2018;M;N;D;D;T;D
D 05/08/2018;T;D;M;D;N;D
L 06/08/2018;T;D;M;D;N;O
M 07/08/2018;N;D;T;M;D;O
X 08/08/2018;N;D;T;M;D;O
J 09/08/2018;D;M;N;T;D;O
V 10/08/2018;D;M;N;T;D;O
S 11/08/2018;D;T;D;N;M;D
D 12/08/2018;D;T;D;N;M;D
L 13/08/2018;O;N;D;D;T;M
M 14/08/2018;O;N;D;D;T;M
X 15/08/2018;O;D;M;D;N;T
J 16/08/2018;O;D;M;D;N;T
V 17/08/2018;O;D;T;M;D;N
S 18/08/2018;D;D;T;M;D;N
D 19/08/2018;D;M;N;T;D;D
L 20/08/2018;O;M;N;T;D;D
M 21/08/2018;O;T;D;N;M;D
X 22/08/2018;O;T;D;N;M;D
J 23/08/2018;O;N;D;D;T;M
V 24/08/2018;O;N;D;D;T;M
S 25/08/2018;D;D;M;D;N;T
D 26/08/2018;D;D;M;D;N;T
L 27/08/2018;O;D;T;M;D;N
M 28/08/2018;O;O;T;M;D;N
X 29/08/2018;O;M;N;T;D;D
J 30/08/2018;O;M;N;T;O;D
V 31/08/2018;O;T;D;N;M;D
S 01/09/2018;D;T;D;N;M;D
D 02/09/2018;D;N;D;D;T;M
L 03/09/2018;O;N;D;D;T;M
M 04/09/2018;O;D;M;D;N;T
X 05/09/2018;O;D;M;O;N;T
J 06/09/2018;O;D;T;M;D;N
V 07/09/2018;O;O;T;M;D;N
S 08/09/2018;D;M;N;T;D;D
D 09/09/2018;D;M;N;T;D;D
L 10/09/2018;M;T;D;N;O;D
M 11/09/2018;M;T;D;N;O;O
X 12/09/2018;T;N;D;D;O;M
J 13/09/2018;T;N;D;D;O;M
V 14/09/2018;N;D;M;D;O;T
S 15/09/2018;N;D;M;D;D;T
D 16/09/2018;D;D;T;M;D;N
L 17/09/2018;D;O;T;M;O;N
M 18/09/2018;D;M;N;T;O;D
X 19/09/2018;O;M;N;T;O;D
J 20/09/2018;M;T;D;N;O;D
V 21/09/2018;M;T;D;N;O;O
S 22/09/2018;T;N;D;D;D;M
D 23/09/2018;T;N;D;D;D;M
L 24/09/2018;N;D;M;D;O;T
M 25/09/2018;N;D;M;O;O;T
X 26/09/2018;D;D;T;M;O;N
J 27/09/2018;D;O;T;M;O;N
V 28/09/2018;D;M;N;T;O;D
S 29/09/2018;D;M;N;T;D;D
D 30/09/2018;M;T;D;N;D;D
L 01/10/2018;M;T;D;N;O;O
M 02/10/2018;T;N;D;D;O;M
X 03/10/2018;T;N;O;D;O;M
J 04/10/2018;N;D;M;D;O;T
V 05/10/2018;N;D;M;O;O;T
S 06/10/2018;D;D;T;M;D;N
D 07/10/2018;D;D;T;M;D;N
L 08/10/2018;D;O;N;T;M;D
M 09/10/2018;D;O;N;T;M;D
X 10/10/2018;M;O;D;N;T;D
J 11/10/2018;M;O;D;N;T;D
V 12/10/2018;T;O;D;D;N;M
S 13/10/2018;T;D;D;D;N;M
D 14/10/2018;N;D;M;D;D;T
L 15/10/2018;N;O;M;D;D;T
M 16/10/2018;D;O;T;M;D;N
X 17/10/2018;D;O;T;M;D;N
J 18/10/2018;D;O;N;T;M;D
V 19/10/2018;D;O;N;T;M;D
S 20/10/2018;M;D;D;N;T;D
D 21/10/2018;M;D;D;N;T;D
L 22/10/2018;T;M;D;D;N;O
M 23/10/2018;T;M;D;D;N;O
X 24/10/2018;N;T;M;D;D;O
J 25/10/2018;N;T;M;D;D;O
V 26/10/2018;D;N;T;M;D;O
S 27/10/2018;D;N;T;M;D;D
D 28/10/2018;D;D;N;T;M;D
L 29/10/2018;D;D;N;T;M;O
M 30/10/2018;M;D;D;N;T;O
X 31/10/2018;M;D;D;N;T;O
J 01/11/2018;T;M;D;D;N;O
V 02/11/2018;T;M;D;D;N;O
S 03/11/2018;N;T;M;D;D;D
D 04/11/2018;N;T;M;D;D;D
L 05/11/2018;D;N;T;O;D;M
M 06/11/2018;D;N;T;O;D;M
X 07/11/2018;D;D;N;O;M;T
J 08/11/2018;D;D;N;O;M;T
V 09/11/2018;M;D;D;O;T;N
S 10/11/2018;M;D;D;D;T;N
D 11/11/2018;T;M;D;D;N;D
L 12/11/2018;T;M;D;O;N;D
M 13/11/2018;N;T;M;O;D;D
X 14/11/2018;N;T;M;O;D;D
J 15/11/2018;D;N;T;O;D;M
V 16/11/2018;D;N;T;O;D;M
S 17/11/2018;D;D;N;D;M;T
D 18/11/2018;D;D;N;D;M;T
L 19/11/2018;O;D;D;M;T;N
M 20/11/2018;O;D;D;M;T;N
X 21/11/2018;O;M;D;T;N;D
J 22/11/2018;O;M;D;T;N;D
V 23/11/2018;O;T;M;N;D;D
S 24/11/2018;D;T;M;N;D;D
D 25/11/2018;D;N;T;D;D;M
L 26/11/2018;O;N;T;D;D;M
M 27/11/2018;O;D;N;D;M;T
X 28/11/2018;O;D;N;D;M;T
J 29/11/2018;O;D;D;M;T;N
V 30/11/2018;O;D;D;M;T;N
S 01/12/2018;D;M;D;T;N;D
D 02/12/2018;D;M;D;T;N;D
L 03/12/2018;M;T;O;N;D;D
M 04/12/2018;M;T;O;N;D;D
X 05/12/2018;T;N;O;D;D;M
J 06/12/2018;T;N;O;D;D;M
V 07/12/2018;N;D;O;D;M;T
S 08/12/2018;N;D;D;D;M;T
D 09/12/2018;D;D;D;M;T;N
L 10/12/2018;D;D;O;M;T;N
M 11/12/2018;D;M;O;T;N;D
X 12/12/2018;D;M;O;T;N;D
J 13/12/2018;M;T;O;N;D;D
V 14/12/2018;M;T;O;N;D;D
S 15/12/2018;T;N;D;D;D;M
D 16/12/2018;T;N;D;D;D;M
L 17/12/2018;N;D;M;D;O;T
M 18/12/2018;N;D;M;D;O;T
X 19/12/2018;D;D;T;M;O;N
J 20/12/2018;D;D;T;M;O;N
V 21/12/2018;D;M;N;T;O;D
S 22/12/2018;D;M;N;T;D;D
D 23/12/2018;M;T;D;N;D;D
L 24/12/2018;M;T;D;N;O;D
M 25/12/2018;T;N;D;D;O;M
X 26/12/2018;T;N;D;D;O;M
J 27/12/2018;N;D;M;D;O;T
V 28/12/2018;N;D;M;D;O;T
S 29/12/2018;D;D;T;M;D;N
D 30/12/2018;D;D;T;M;D;N
L 31/12/2018;D;O;N;T;M;D
M 01/01/2019;D;O;N;T;M;D
X 02/01/2019;M;O;D;N;T;D
J 03/01/2019;M;O;D;N;T;D
V 04/01/2019;T;O;D;D;N;M
S 05/01/2019;T;D;D;D;N;M
D 06/01/2019;N;D;M;D;D;T
L 07/01/2019;N;O;M;D;D;T
M 08/01/2019;D;O;T;M;D;N
X 09/01/2019;D;O;T;M;D;N
J 10/01/2019;D;O;N;T;M;D
V 11/01/2019;D;O;N;T;M;D
S 12/01/2019;M;D;D;N;T;D
D 13/01/2019;M;D;D;N;T;D
L 14/01/2019;T;M;D;D;N;O
M 15/01/2019;T;M;D;D;N;O
X 16/01/2019;N;T;M;D;D;O
J 17/01/2019;N;T;M;D;D;O
V 18/01/2019;D;N;T;M;D;O
S 19/01/2019;D;N;T;M;D;D
D 20/01/2019;D;D;N;T;M;D
L 21/01/2019;D;D;N;T;M;O
M 22/01/2019;M;D;D;N;T;O
X 23/01/2019;M;D;D;N;T;O
J 24/01/2019;T;M;D;D;N;O
V 25/01/2019;T;M;D;D;N;O
S 26/01/2019;N;T;M;D;D;D
D 27/01/2019;N;T;M;D;D;D
L 28/01/2019;D;N;T;O;D;M
M 29/01/2019;D;N;T;O;D;M
X 30/01/2019;D;D;N;O;M;T
J 31/01/2019;D;D;N;O;M;T
V 01/02/2019;M;D;D;O;T;N
S 02/02/2019;M;D;D;D;T;N
D 03/02/2019;T;M;D;D;N;D
L 04/02/2019;T;M;D;O;N;D
M 05/02/2019;N;T;M;O;D;D
X 06/02/2019;N;T;M;O;D;D
J 07/02/2019;D;N;T;O;D;M
V 08/02/2019;D;N;T;O;D;M
S 09/02/2019;D;D;N;D;M;T
D 10/02/2019;D;D;N;D;M;T
L 11/02/2019;O;D;D;M;T;N
M 12/02/2019;O;D;D;M;T;N
X 13/02/2019;O;M;D;T;N;D
J 14/02/2019;O;M;D;T;N;D
V 15/02/2019;O;T;M;N;D;D
S 16/02/2019;D;T;M;N;D;D
D 17/02/2019;D;N;T;D;D;M
L 18/02/2019;O;N;T;D;D;M
M 19/02/2019;O;D;N;D;M;T
X 20/02/2019;O;D;N;D;M;T
J 21/02/2019;O;D;D;M;T;N
V 22/02/2019;O;D;D;M;T;N
S 23/02/2019;D;M;D;T;N;D
D 24/02/2019;D;M;D;T;N;D
L 25/02/2019;M;T;O;N;D;D
M 26/02/2019;M;T;O;N;D;D
X 27/02/2019;T;N;O;D;D;M
J 28/02/2019;T;N;O;D;D;M
V 01/03/2019;N;D;O;D;M;T
S 02/03/2019;N;D;D;D;M;T
D 03/03/2019;D;D;D;M;T;N
L 04/03/2019;D;D;O;M;T;N
M 05/03/2019;D;M;O;T;N;D
X 06/03/2019;D;M;O;T;N;D
J 07/03/2019;M;T;O;N;D;D
V 08/03/2019;M;T;O;N;D;D
S 09/03/2019;T;N;D;D;D;M
D 10/03/2019;T;N;D;D;D;M
L 11/03/2019;N;D;M;D;O;T
M 12/03/2019;N;D;M;D;O;T
X 13/03/2019;D;D;T;M;O;N
J 14/03/2019;D;D;T;M;O;N
V 15/03/2019;D;M;N;T;O;D
S 16/03/2019;D;M;N;T;D;D
D 17/03/2019;M;T;D;N;D;D
L 18/03/2019;M;T;D;N;O;D
M 19/03/2019;T;N;D;D;O;M
X 20/03/2019;T;N;D;D;O;M
J 21/03/2019;N;D;M;D;O;T
V 22/03/2019;N;D;M;D;O;T
S 23/03/2019;D;D;T;M;D;N
D 24/03/2019;D;D;T;M;D;N
L 25/03/2019;D;O;N;T;M;D
M 26/03/2019;D;O;N;T;M;D
X 27/03/2019;M;O;D;N;T;D
J 28/03/2019;M;O;D;N;T;D
V 29/03/2019;T;O;D;D;N;M
S 30/03/2019;T;D;D;D;N;M
D 31/03/2019;N;D;M;D;D;T
L 01/04/2019;N;O;M;D;D;T
M 02/04/2019;D;O;T;M;D;N
X 03/04/2019;D;O;T;M;D;N
J 04/04/2019;D;O;N;T;M;D
V 05/04/2019;D;O;N;T;M;D
S 06/04/2019;M;D;D;N;T;D
D 07/04/2019;M;D;D;N;T;D
L 08/04/2019;T;M;D;D;N;O
M 09/04/2019;T;M;D;D;N;O
X 10/04/2019;N;T;M;D;D;O
J 11/04/2019;N;T;M;D;D;O
V 12/04/2019;D;N;T;M;D;O
S 13/04/2019;D;N;T;M;D;D
D 14/04/2019;D;D;N;T;M;D
L 15/04/2019;D;D;N;T;M;O
M 16/04/2019;M;D;D;N;T;O
X 17/04/2019;M;D;D;N;T;O
J 18/04/2019;T;M;D;D;N;O
V 19/04/2019;T;M;D;D;N;O
S 20/04/2019;N;T;M;D;D;D
D 21/04/2019;N;T;M;D;D;D
L 22/04/2019;D;N;T;O;D;M
M 23/04/2019;D;N;T;O;O;M
X 24/04/2019;D;D;N;O;M;T
J 25/04/2019;O;D;N;O;M;T
V 26/04/2019;M;D;D;O;T;N
S 27/04/2019;M;D;D;D;T;N
D 28/04/2019;T;M;D;D;N;D
L 29/04/2019;T;M;O;O;N;D
M 30/04/2019;N;T;M;O;D;D
X 01/05/2019;N;T;M;O;D;O
J 02/05/2019;D;N;T;O;D;M
V 03/05/2019;D;N;T;O;O;M
S 04/05/2019;D;D;N;D;M;T
D 05/05/2019;D;D;N;D;M;T
L 06/05/2019;M;D;D;O;T;N
M 07/05/2019;M;O;D;O;T;N
X 08/05/2019;T;M;D;O;N;D
J 09/05/2019;T;M;O;O;N;D
V 10/05/2019;N;T;M;O;D;D
S 11/05/2019;N;T;M;D;D;D
D 12/05/2019;D;N;T;D;D;M
L 13/05/2019;D;N;T;O;O;M
M 14/05/2019;D;D;N;O;M;T
X 15/05/2019;O;D;N;O;M;T
J 16/05/2019;M;D;D;O;T;N
V 17/05/2019;M;O;D;O;T;N
S 18/05/2019;T;M;D;D;N;D
D 19/05/2019;T;M;D;D;N;D
L 20/05/2019;N;T;O;M;D;D
M 21/05/2019;N;T;O;M;D;O
X 22/05/2019;D;N;O;T;D;M
J 23/05/2019;D;N;O;T;D;M
V 24/05/2019;D;D;O;N;M;T
S 25/05/2019;D;D;D;N;M;T
D 26/05/2019;M;D;D;D;T;N
L 27/05/2019;M;O;O;D;T;N
M 28/05/2019;T;M;O;D;N;D
X 29/05/2019;T;M;O;O;N;D
J 30/05/2019;N;T;O;M;D;D
V 31/05/2019;N;T;O;M;D;D
S 01/06/2019;D;N;D;T;D;M
D 02/06/2019;D;N;D;T;D;M
L 03/06/2019;D;D;O;N;M;T
M 04/06/2019;O;D;O;N;M;T
X 05/06/2019;M;D;O;D;T;N
J 06/06/2019;M;D;O;D;T;N
V 07/06/2019;T;M;O;D;N;D
S 08/06/2019;T;M;D;D;N;D
D 09/06/2019;N;T;D;M;D;D
L 10/06/2019;N;T;O;M;D;O
M 11/06/2019;D;N;O;T;D;M
X 12/06/2019;D;N;O;T;O;M
J 13/06/2019;D;D;O;N;M;T
V 14/06/2019;O;D;O;N;M;T
S 15/06/2019;M;D;D;D;T;N
D 16/06/2019;M;D;D;D;T;N
L 17/06/2019;T;O;M;D;N;D
M 18/06/2019;T;O;M;O;N;D
X 19/06/2019;N;O;T;M;D;D
J 20/06/2019;N;O;T;M;D;O
V 21/06/2019;D;O;N;T;D;M
S 22/06/2019;D;D;N;T;D;M
D 23/06/2019;D;D;D;N;M;T
L 24/06/2019;D;O;D;N;M;T
M 25/06/2019;M;O;D;D;T;N
X 26/06/2019;M;O;O;D;T;N
J 27/06/2019;T;O;M;D;N;D
V 28/06/2019;T;O;M;O;N;D
S 29/06/2019;N;D;T;M;D;D
D 30/06/2019;N;D;T;M;D;D
L 01/07/2019;D;O;N;T;D;M
M 02/07/2019;D;O;N;T;D;M
X 03/07/2019;D;O;D;N;M;T
J 04/07/2019;D;O;D;N;M;T
V 05/07/2019;M;O;D;D;T;N
S 06/07/2019;M;D;D;D;T;N
D 07/07/2019;T;D;M;D;N;D
L 08/07/2019;T;O;M;D;N;D
M 09/07/2019;N;O;T;M;D;D
X 10/07/2019;N;O;T;M;D;D
J 11/07/2019;D;O;N;T;D;M
V 12/07/2019;D;O;N;T;D;M
S 13/07/2019;D;D;D;N;M;T
D 14/07/2019;D;D;D;N;M;T
L 15/07/2019;O;M;D;D;T;N
M 16/07/2019;O;M;D;D;T;N
X 17/07/2019;O;T;M;D;N;D
J 18/07/2019;O;T;M;D;N;D
V 19/07/2019;O;N;T;M;D;D
S 20/07/2019;D;N;T;M;D;D
D 21/07/2019;D;D;N;T;D;M
L 22/07/2019;O;D;N;T;D;M
M 23/07/2019;O;D;D;N;M;T
X 24/07/2019;O;D;D;N;M;T
J 25/07/2019;O;M;D;D;T;N
V 26/07/2019;O;M;D;D;T;N
S 27/07/2019;D;T;M;D;N;D
D 28/07/2019;D;T;M;D;N;D
L 29/07/2019;O;N;T;M;D;D
M 30/07/2019;O;N;T;M;D;D
X 31/07/2019;O;D;N;T;D;M
J 01/08/2019;O;D;N;T;D;M
V 02/08/2019;O;D;D;N;M;T
S 03/08/2019;D;D;D;N;M;T
D 04/08/2019;D;M;D;D;T;N
L 05/08/2019;O;M;D;D;T;N
M 06/08/2019;O;T;M;D;N;D
X 07/08/2019;O;T;M;D;N;D
J 08/08/2019;O;N;T;M;D;D
V 09/08/2019;O;N;T;M;D;D
S 10/08/2019;D;D;N;T;D;M
D 11/08/2019;D;D;N;T;D;M
L 12/08/2019;M;D;D;N;O;T
M 13/08/2019;M;D;D;N;O;T
X 14/08/2019;T;M;D;D;O;N
J 15/08/2019;T;M;D;D;O;N
V 16/08/2019;N;T;M;D;O;D
S 17/08/2019;N;T;M;D;D;D
D 18/08/2019;D;N;T;M;D;D
L 19/08/2019;D;N;T;M;O;D
M 20/08/2019;D;D;N;T;O;M
X 21/08/2019;D;D;N;T;O;M
J 22/08/2019;M;D;D;N;O;T
V 23/08/2019;M;D;D;N;O;T
S 24/08/2019;T;M;D;D;D;N
D 25/08/2019;T;M;D;D;D;N
L 26/08/2019;N;T;M;D;O;D
M 27/08/2019;N;T;M;O;O;D
X 28/08/2019;D;N;T;M;O;D
J 29/08/2019;D;N;T;M;O;O
V 30/08/2019;D;D;N;T;O;M
S 31/08/2019;D;D;N;T;D;M
D 01/09/2019;M;D;D;N;D;T
L 02/09/2019;M;O;D;N;O;T
M 03/09/2019;T;M;D;D;O;N
X 04/09/2019;T;M;O;D;O;N
J 05/09/2019;N;T;M;D;O;D
V 06/09/2019;N;T;M;O;O;D
S 07/09/2019;D;N;T;M;D;D
D 08/09/2019;D;N;T;M;D;D
L 09/09/2019;D;D;N;T;M;O
M 10/09/2019;O;D;N;T;M;O
X 11/09/2019;M;D;D;N;T;O
J 12/09/2019;M;O;D;N;T;O
V 13/09/2019;T;M;D;D;N;O
S 14/09/2019;T;M;D;D;N;D
D 15/09/2019;N;T;M;D;D;D
L 16/09/2019;N;T;M;O;D;O
M 17/09/2019;D;N;T;M;D;O
X 18/09/2019;D;N;T;M;O;O
J 19/09/2019;D;D;N;T;M;O
V 20/09/2019;O;D;N;T;M;O
S 21/09/2019;M;D;D;N;T;D
D 22/09/2019;M;D;D;N;T;D
L 23/09/2019;T;M;D;D;N;O
M 24/09/2019;T;M;O;D;N;O
X 25/09/2019;N;T;M;D;D;O
J 26/09/2019;N;T;M;O;D;O
V 27/09/2019;D;N;T;M;D;O
S 28/09/2019;D;N;T;M;D;D
D 29/09/2019;D;D;N;T;M;D
L 30/09/2019;O;D;N;T;M;O
M 01/10/2019;M;D;D;N;T;O
X 02/10/2019;M;O;D;N;T;O
J 03/10/2019;T;M;D;D;N;O
V 04/10/2019;T;M;O;D;N;O
S 05/10/2019;N;T;M;D;D;D
D 06/10/2019;N;T;M;D;D;D
L 07/10/2019;D;N;T;O;D;M
M 08/10/2019;D;N;T;O;D;M
X 09/10/2019;D;D;N;O;M;T
J 10/10/2019;D;D;N;O;M;T
V 11/10/2019;M;D;D;O;T;N
S 12/10/2019;M;D;D;D;T;N
D 13/10/2019;T;M;D;D;N;D
L 14/10/2019;T;M;D;O;N;D
M 15/10/2019;N;T;M;O;D;D
X 16/10/2019;N;T;M;O;D;D
J 17/10/2019;D;N;T;O;D;M
V 18/10/2019;D;N;T;O;D;M
S 19/10/2019;D;D;N;D;M;T
D 20/10/2019;D;D;N;D;M;T
L 21/10/2019;O;D;D;M;T;N
M 22/10/2019;O;D;D;M;T;N
X 23/10/2019;O;M;D;T;N;D
J 24/10/2019;O;M;D;T;N;D
V 25/10/2019;O;T;M;N;D;D
S 26/10/2019;D;T;M;N;D;D
D 27/10/2019;D;N;T;D;D;M
L 28/10/2019;O;N;T;D;D;M
M 29/10/2019;O;D;N;D;M;T
X 30/10/2019;O;D;N;D;M;T
J 31/10/2019;O;D;D;M;T;N
V 01/11/2019;O;D;D;M;T;N
S 02/11/2019;D;M;D;T;N;D
D 03/11/2019;D;M;D;T;N;D
L 04/11/2019;M;T;O;N;D;D
M 05/11/2019;M;T;O;N;D;D
X 06/11/2019;T;N;O;D;D;M
J 07/11/2019;T;N;O;D;D;M
V 08/11/2019;N;D;O;D;M;T
S 09/11/2019;N;D;D;D;M;T
D 10/11/2019;D;D;D;M;T;N
L 11/11/2019;D;D;O;M;T;N
M 12/11/2019;D;M;O;T;N;D
X 13/11/2019;D;M;O;T;N;D
J 14/11/2019;M;T;O;N;D;D
V 15/11/2019;M;T;O;N;D;D
S 16/11/2019;T;N;D;D;D;M
D 17/11/2019;T;N;D;D;D;M
L 18/11/2019;N;D;M;D;O;T
M 19/11/2019;N;D;M;D;O;T
X 20/11/2019;D;D;T;M;O;N
J 21/11/2019;D;D;T;M;O;N
V 22/11/2019;D;M;N;T;O;D
S 23/11/2019;D;M;N;T;D;D
D 24/11/2019;M;T;D;N;D;D
L 25/11/2019;M;T;D;N;O;D
M 26/11/2019;T;N;D;D;O;M
X 27/11/2019;T;N;D;D;O;M
J 28/11/2019;N;D;M;D;O;T
V 29/11/2019;N;D;M;D;O;T
S 30/11/2019;D;D;T;M;D;N
D 01/12/2019;D;D;T;M;D;N
L 02/12/2019;D;O;N;T;M;D
M 03/12/2019;D;O;N;T;M;D
X 04/12/2019;M;O;D;N;T;D
J 05/12/2019;M;O;D;N;T;D
V 06/12/2019;T;O;D;D;N;M
S 07/12/2019;T;D;D;D;N;M
D 08/12/2019;N;D;M;D;D;T
L 09/12/2019;N;O;M;D;D;T
M 10/12/2019;D;O;T;M;D;N
X 11/12/2019;D;O;T;M;D;N
J 12/12/2019;D;O;N;T;M;D
V 13/12/2019;D;O;N;T;M;D
S 14/12/2019;M;D;D;N;T;D
D 15/12/2019;M;D;D;N;T;D
L 16/12/2019;T;M;D;D;N;O
M 17/12/2019;T;M;D;D;N;O
X 18/12/2019;N;T;M;D;D;O
J 19/12/2019;N;T;M;D;D;O
V 20/12/2019;D;N;T;M;D;O
S 21/12/2019;D;N;T;M;D;D
D 22/12/2019;D;D;N;T;M;D
L 23/12/2019;D;D;N;T;M;O
M 24/12/2019;M;D;D;N;T;O
X 25/12/2019;M;D;D;N;T;O
J 26/12/2019;T;M;D;D;N;O
V 27/12/2019;T;M;D;D;N;O
S 28/12/2019;N;T;M;D;D;D
D 29/12/2019;N;T;M;D;D;D
L 30/12/2019;D;N;T;O;D;M
M 31/12/2019;D;N;T;O;D;M
X 01/01/2020;D;D;N;O;M;T
J 02/01/2020;D;D;N;O;M;T
V 03/01/2020;M;D;D;O;T;N
S 04/01/2020;M;D;D;D;T;N
D 05/01/2020;T;M;D;D;N;D
L 06/01/2020;T;M;D;O;N;D
M 07/01/2020;N;T;M;O;D;D
X 08/01/2020;N;T;M;O;D;D
J 09/01/2020;D;N;T;O;D;M
V 10/01/2020;D;N;T;O;D;M
S 11/01/2020;D;D;N;D;M;T
D 12/01/2020;D;D;N;D;M;T
L 13/01/2020;O;D;D;M;T;N
M 14/01/2020;O;D;D;M;T;N
X 15/01/2020;O;M;D;T;N;D
J 16/01/2020;O;M;D;T;N;D
V 17/01/2020;O;T;M;N;D;D
S 18/01/2020;D;T;M;N;D;D
D 19/01/2020;D;N;T;D;D;M
L 20/01/2020;O;N;T;D;D;M
M 21/01/2020;O;D;N;D;M;T
X 22/01/2020;O;D;N;D;M;T
J 23/01/2020;O;D;D;M;T;N
V 24/01/2020;O;D;D;M;T;N
S 25/01/2020;D;M;D;T;N;D
D 26/01/2020;D;M;D;T;N;D
L 27/01/2020;M;T;O;N;D;D
M 28/01/2020;M;T;O;N;D;D
X 29/01/2020;T;N;O;D;D;M
J 30/01/2020;T;N;O;D;D;M
V 31/01/2020;N;D;O;D;M;T
S 01/02/2020;N;D;D;D;M;T
D 02/02/2020;D;D;D;M;T;N
L 03/02/2020;D;D;O;M;T;N
M 04/02/2020;D;M;O;T;N;D
X 05/02/2020;D;M;O;T;N;D
J 06/02/2020;M;T;O;N;D;D
V 07/02/2020;M;T;O;N;D;D
S 08/02/2020;T;N;D;D;D;M
D 09/02/2020;T;N;D;D;D;M
L 10/02/2020;N;D;M;D;O;T
M 11/02/2020;N;D;M;D;O;T
X 12/02/2020;D;D;T;M;O;N
J 13/02/2020;D;D;T;M;O;N
V 14/02/2020;D;M;N;T;O;D
S 15/02/2020;D;M;N;T;D;D
D 16/02/2020;M;T;D;N;D;D
L 17/02/2020;M;T;D;N;O;D
M 18/02/2020;T;N;D;D;O;M
X 19/02/2020;T;N;D;D;O;M
J 20/02/2020;N;D;M;D;O;T
V 21/02/2020;N;D;M;D;O;T
S 22/02/2020;D;D;T;M;D;N
D 23/02/2020;D;D;T;M;D;N
L 24/02/2020;D;O;N;T;M;D
M 25/02/2020;D;O;N;T;M;D
X 26/02/2020;M;O;D;N;T;D
J 27/02/2020;M;O;D;N;T;D
V 28/02/2020;T;O;D;D;N;M
S 29/02/2020;T;D;D;D;N;M
D 01/03/2020;N;D;M;D;D;T
L 02/03/2020;N;O;M;D;D;T
M 03/03/2020;D;O;T;M;D;N
X 04/03/2020;D;O;T;M;D;N
J 05/03/2020;D;O;N;T;M;D
V 06/03/2020;D;O;N;T;M;D
S 07/03/2020;M;D;D;N;T;D
D 08/03/2020;M;D;D;N;T;D
L 09/03/2020;T;M;D;D;N;O
M 10/03/2020;T;M;D;D;N;O
X 11/03/2020;N;T;M;D;D;O
J 12/03/2020;N;T;M;D;D;O
V 13/03/2020;D;N;T;M;D;O
S 14/03/2020;D;N;T;M;D;D
D 15/03/2020;D;D;N;T;M;D
L 16/03/2020;D;D;N;T;M;O
M 17/03/2020;M;D;D;N;T;O
X 18/03/2020;M;D;D;N;T;O
J 19/03/2020;T;M;D;D;N;O
V 20/03/2020;T;M;D;D;N;O
S 21/03/2020;N;T;M;D;D;D
D 22/03/2020;N;T;M;D;D;D
L 23/03/2020;D;N;T;O;D;M
M 24/03/2020;D;N;T;O;D;M
X 25/03/2020;D;D;N;O;M;T
J 26/03/2020;D;D;N;O;M;T
V 27/03/2020;M;D;D;O;T;N
S 28/03/2020;M;D;D;D;T;N
D 29/03/2020;T;M;D;D;N;D
L 30/03/2020;T;M;D;O;N;D
M 31/03/2020;N;T;M;O;D;D
X 01/04/2020;N;T;M;O;D;D
J 02/04/2020;D;N;T;O;D;M
V 03/04/2020;D;N;T;O;D;M
S 04/04/2020;D;D;N;D;M;T
D 05/04/2020;D;D;N;D;M;T
L 06/04/2020;O;D;D;M;T;N
M 07/04/2020;O;D;D;M;T;N
X 08/04/2020;O;M;D;T;N;D
J 09/04/2020;O;M;D;T;N;D
V 10/04/2020;O;T;M;N;D;D
S 11/04/2020;D;T;M;N;D;D
D 12/04/2020;D;N;T;D;D;M
L 13/04/2020;O;N;T;D;D;M
M 14/04/2020;O;D;N;D;M;T
X 15/04/2020;O;D;N;D;M;T
J 16/04/2020;O;D;D;M;T;N
V 17/04/2020;O;D;D;M;T;N
S 18/04/2020;D;M;D;T;N;D
D 19/04/2020;D;M;D;T;N;D
L 20/04/2020;M;T;O;N;D;D
M 21/04/2020;M;T;O;N;D;D
X 22/04/2020;T;N;O;D;D;M
J 23/04/2020;T;N;O;D;D;M
V 24/04/2020;N;D;O;D;M;T
S 25/04/2020;N;D;D;D;M;T
D 26/04/2020;D;D;D;M;T;N
L 27/04/2020;D;D;O;M;T;N
M 28/04/2020;D;M;O;T;N;D
X 29/04/2020;D;M;O;T;N;D
J 30/04/2020;M;T;O;N;D;D
